id,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,recoveries,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,class
544506,14000, 60 months,16.55,344.56,D,10+ years,MORTGAGE,120000,Source Verified,home_improvement,13.36,0,Jan-96,1,10,1,13499,84.9,32,0,0,0,0,393912,15900,0
383888,20000, 36 months,8.39,630.34,A,1 year,RENT,95000,Source Verified,debt_consolidation,22.64,0,Sep-00,0,18,0,24139,48.1,32,0,0,0,0,409019,50200,0
112030,8000, 36 months,15.22,278.19,C,4 years,MORTGAGE,35000,Source Verified,debt_consolidation,25.41,0,Nov-07,0,12,0,10523,79.7,19,0,0,0,0,111240,13200,0
189243,18000, 36 months,10.16,582.17,B,10+ years,MORTGAGE,78000,Source Verified,debt_consolidation,26.68,0,Jul-02,2,11,0,21424,57,21,0,0,0,0,228986,37600,0
177876,4300, 36 months,15.31,149.72,C,1 year,RENT,52000,Not Verified,debt_consolidation,11.22,0,Oct-03,1,6,0,3597,40,16,0,0,0,959,27105,9000,0
153752,9500, 36 months,15.8,333.06,C,10+ years,RENT,30000,Not Verified,debt_consolidation,9.76,0,Nov-00,1,9,0,6946,65.5,12,0,0,0,0,6946,10600,0
99597,5600, 36 months,13.68,190.53,C,3 years,OWN,25000,Not Verified,debt_consolidation,26.98,0,Feb-09,0,6,0,11036,71.7,7,0,0,0,0,36534,15400,0
45293,10200, 60 months,15.61,245.94,C,6 years,MORTGAGE,60000,Verified,credit_card,21.3,2,May-96,1,13,0,12834,70.1,32,0,0,0,0,145664,18300,0
844259,13000, 36 months,11.44,428.32,B,10+ years,MORTGAGE,69000,Not Verified,credit_card,30.97,0,Feb-99,0,15,1,10243,73.7,35,0,0,0,0,92252,13900,0
409432,14000, 36 months,15.31,487.45,C,7 years,MORTGAGE,65000,Source Verified,debt_consolidation,6.11,0,Jan-02,1,9,0,6292,49.9,15,0,1,0,147,66569,12600,0
173814,35000, 36 months,11.14,1148.18,B,10+ years,MORTGAGE,130000,Verified,debt_consolidation,7.18,0,Dec-91,0,15,0,15063,17.8,31,0,0,0,0,443474,84700,0
250929,23000, 60 months,15.59,554.32,D,10+ years,MORTGAGE,85000,Source Verified,debt_consolidation,37.95,1,Oct-01,0,16,0,27877,63.8,30,0,0,0,0,279384,43700,0
199997,11100, 36 months,7.9,347.33,A,3 years,MORTGAGE,70000,Verified,credit_card,15.36,0,Dec-92,2,7,0,39253,85.3,23,0,0,0,0,468911,46000,0
438316,18000, 36 months,14.16,616.6,C,4 years,RENT,50000,Not Verified,credit_card,9.46,0,Mar-02,0,3,0,17714,88.1,35,0,0,0,0,17714,20100,0
153510,15000, 36 months,11.14,492.08,B,1 year,OWN,1.00E+05,Verified,home_improvement,13.24,1,Jul-88,2,11,0,11683,69.1,30,0,0,0,0,26825,16900,0
170166,16000, 60 months,23.63,456.86,F,8 years,MORTGAGE,93000,Verified,other,14.27,0,Apr-93,1,9,1,38275,87.4,20,0,0,0,0,246409,43800,0
792120,26375, 36 months,17.57,947.84,D,10+ years,OWN,55000,Verified,credit_card,34.7,1,Feb-87,1,19,0,39871,36,36,0,0,0,0,76779,110700,0
53990,8000, 36 months,15.61,279.72,C,2 years,RENT,36000,Not Verified,debt_consolidation,8.17,0,Sep-10,1,7,0,8447,42.7,9,0,0,0,0,8450,19800,0
402342,12000, 36 months,11.99,398.52,B,10+ years,MORTGAGE,82100,Source Verified,debt_consolidation,23.59,1,Sep-00,0,11,0,7993,79.1,28,0,0,0,0,293845,10100,0
380590,15000, 36 months,8.39,472.75,A,10+ years,OWN,91877,Source Verified,small_business,4.93,0,Jul-78,1,20,0,4564,7.4,44,0,0,0,0,14046,61700,0
402911,6000, 36 months,9.67,192.68,B,n/a,MORTGAGE,108000,Verified,other,11.59,0,May-82,0,9,0,2546,54.2,32,0,0,0,0,200327,4700,0
196841,4750, 36 months,7.9,148.63,A,n/a,OWN,16000,Not Verified,credit_card,18.08,0,Sep-78,0,4,0,10144,82.5,6,0,0,0,0,10144,12300,0
837950,16500, 60 months,17.57,415.15,D,9 years,RENT,79000,Source Verified,debt_consolidation,17.79,0,Sep-03,0,7,1,13212,83.6,14,0,0,0,0,37787,15800,0
275276,10000, 36 months,11.67,330.57,B,< 1 year,RENT,26800,Not Verified,debt_consolidation,24.45,0,Apr-03,2,8,0,8557,45.3,29,0,0,0,144,12177,18900,0
884870,31000, 60 months,17.86,784.84,D,10+ years,RENT,103812.8,Verified,debt_consolidation,14.32,0,May-93,0,15,0,18274,30.8,59,0,0,0,0,38678,59300,0
107705,7000, 36 months,9.71,224.92,B,10+ years,RENT,43000,Not Verified,credit_card,16.3,2,Jul-94,0,5,0,7754,63.7,27,0,0,0,0,14858,50700,0
312727,6400, 36 months,16.29,225.93,D,1 year,RENT,87000,Source Verified,vacation,17.21,0,Dec-04,1,9,0,17958,71.3,14,0,0,0,0,35663,25200,0
448103,6000, 36 months,9.67,192.68,B,2 years,MORTGAGE,3.00E+05,Verified,debt_consolidation,8.64,0,Apr-90,0,11,0,10567,87.3,49,0,1,0,50,445058,12100,0
138353,7550, 36 months,17.77,272.09,D,8 years,OWN,30000,Not Verified,debt_consolidation,17.16,0,Nov-07,0,10,0,5956,64.7,13,0,0,0,0,10683,9200,0
410883,2725, 36 months,18.25,98.86,D,7 years,RENT,50000,Verified,other,11.5,0,Feb-94,2,5,1,2951,48,19,0,0,0,0,27589,6100,0
194155,4500, 36 months,10.16,145.55,B,9 years,MORTGAGE,55000,Not Verified,major_purchase,6.41,0,Mar-00,0,5,0,15637,79.4,28,0,0,0,0,205667,19700,0
151587,11500, 36 months,15.31,400.4,C,5 years,MORTGAGE,34000,Verified,debt_consolidation,22.94,0,May-02,1,8,0,11012,61.5,11,0,0,0,0,130800,17900,0
133617,22000, 36 months,7.9,688.39,A,7 years,MORTGAGE,52000,Verified,credit_card,14.83,0,Mar-02,0,5,0,27713,73.1,20,0,0,0,0,147003,37900,0
114900,35000, 60 months,15.88,848.91,C,10+ years,MORTGAGE,115000,Verified,house,8.38,0,Feb-86,2,12,0,12023,17.9,33,0,0,0,0,309377,67200,0
82239,10050, 36 months,13.67,341.88,B,3 years,RENT,90000,Verified,debt_consolidation,4.69,0,Apr-01,0,9,1,3826,37.5,36,0,0,0,0,9080,10200,0
145713,21000, 60 months,16.29,513.93,C,10+ years,RENT,92000,Verified,debt_consolidation,30.8,0,Sep-96,0,14,0,35272,65.9,27,0,0,0,0,224904,53500,0
150659,18075, 60 months,15.31,432.95,C,10+ years,MORTGAGE,79455.4,Verified,credit_card,27.73,0,Oct-99,1,10,0,25501,67.8,41,0,0,0,0,209085,37600,0
64578,8000, 36 months,7.9,250.33,A,10+ years,MORTGAGE,1.00E+05,Source Verified,debt_consolidation,12.73,0,May-97,0,7,0,9004,35.3,32,0,0,0,151,301699,25500,0
450579,10000, 36 months,18.25,362.78,D,8 years,MORTGAGE,117200,Verified,major_purchase,9.56,0,Apr-03,0,7,0,23811,98.4,14,0,0,0,0,564584,24200,0
378928,10000, 36 months,12.49,334.49,B,5 years,RENT,120000,Source Verified,moving,17.9,0,Jun-06,3,15,0,15022,42.7,24,0,0,0,178,51798,35200,0
144283,6500, 36 months,13.11,219.36,B,9 years,MORTGAGE,57000,Verified,credit_card,10.34,0,Jan-03,1,4,1,6720,81,12,0,0,0,0,8283,8300,0
125403,24000, 60 months,15.8,581.09,C,6 years,MORTGAGE,80000,Verified,credit_card,20.4,0,Jan-00,0,11,0,26846,51.9,30,0,0,0,0,238514,51700,0
191074,15500, 36 months,11.14,508.48,B,4 years,MORTGAGE,70000,Verified,debt_consolidation,27.98,0,Jan-97,0,16,0,16292,57.4,33,0,0,0,0,194973,28400,0
164046,18000, 36 months,6.03,547.84,A,7 years,MORTGAGE,94800,Source Verified,debt_consolidation,25.34,0,Jun-96,3,18,0,4708,4.4,37,0,0,0,0,309392,106600,0
130124,10000, 36 months,11.14,328.06,B,9 years,MORTGAGE,65000,Verified,debt_consolidation,19.91,0,Feb-03,0,15,0,25217,75.1,33,0,0,0,0,318036,33600,0
825901,10000, 36 months,13.33,338.54,C,2 years,RENT,63000,Verified,small_business,5.07,0,Aug-09,1,8,0,6120,22.5,13,0,0,0,0,12207,27200,0
447986,20000, 36 months,13.53,679,B,6 years,MORTGAGE,110000,Verified,debt_consolidation,11.66,0,May-86,1,25,0,73057,56.3,52,0,0,0,0,524801,100900,0
124804,18000, 36 months,14.09,615.99,B,10+ years,RENT,53000,Not Verified,debt_consolidation,26.32,1,Jun-89,0,14,1,19490,72.5,26,0,0,0,0,24329,26900,0
135309,20000, 36 months,13.11,674.94,B,n/a,MORTGAGE,72588,Verified,credit_card,24.43,0,Nov-96,0,12,0,36138,81.2,24,0,0,0,0,191505,44500,0
197471,11200, 36 months,14.09,383.28,B,6 years,RENT,38000,Source Verified,debt_consolidation,27.65,0,Dec-98,3,12,0,7803,68.4,14,0,0,0,0,37693,11400,0
85029,8725, 36 months,10.99,285.61,B,10+ years,MORTGAGE,46189.03,Verified,debt_consolidation,28.84,0,May-04,1,9,0,13962,75.1,18,0,0,0,0,224438,18600,0
52388,6600, 36 months,8.9,209.58,A,3 years,RENT,55000,Verified,credit_card,29.15,0,Aug-03,1,16,0,10452,49.3,38,0,0,0,8402,114789,21200,0
82859,10000, 60 months,20.2,266.06,D,10+ years,MORTGAGE,105000,Verified,debt_consolidation,25.23,0,Jun-98,0,12,0,16297,62,51,0,0,0,0,218169,26300,0
413292,24000, 36 months,8.9,762.08,A,1 year,RENT,125000,Source Verified,debt_consolidation,15.2,0,Aug-99,1,9,0,39909,55.4,16,0,0,0,0,43530,72100,0
112883,2000, 36 months,21.15,75.51,E,10+ years,RENT,60000,Verified,vacation,7.6,1,Apr-97,0,4,0,1017,101.7,14,0,0,0,0,5741,1000,0
43208,4350, 36 months,19.97,161.6,D,8 years,MORTGAGE,30000,Verified,home_improvement,8.24,0,Aug-99,0,10,0,5577,39.6,34,0,0,0,0,142284,14100,0
136131,28000, 60 months,16.29,685.23,C,2 years,MORTGAGE,95000,Verified,debt_consolidation,14.47,0,Dec-93,0,11,0,17053,77.9,30,0,0,0,0,161785,21900,0
414259,8000, 36 months,15.31,278.54,C,n/a,RENT,22050,Verified,debt_consolidation,25.75,0,Jul-05,0,8,0,4030,56,15,0,0,0,0,21614,7200,0
391242,24800, 36 months,16.99,884.07,D,10+ years,RENT,62000,Source Verified,other,19.88,0,Nov-96,0,10,0,29724,43.8,11,0,0,0,0,36367,67900,0
438382,35000, 60 months,15.31,838.36,C,10+ years,MORTGAGE,101500,Verified,debt_consolidation,21.07,0,May-97,2,8,0,23781,85,23,0,0,0,0,194290,28000,0
840369,30000, 36 months,17.57,1078.12,D,2 years,MORTGAGE,150000,Source Verified,credit_card,15.84,1,Nov-89,0,17,0,52354,83.1,29,0,0,0,0,383562,63000,0
44315,8000, 36 months,12.85,268.98,B,2 years,RENT,105000,Not Verified,debt_consolidation,20.46,1,Aug-03,0,10,0,7530,63.8,26,0,0,0,0,77914,11800,0
78921,9000, 36 months,12.99,303.21,B,10+ years,MORTGAGE,50000,Source Verified,debt_consolidation,4.34,0,Mar-83,1,5,1,5258,38.4,26,0,0,0,0,5258,13700,0
762845,16800, 60 months,9.17,350.13,B,6 years,MORTGAGE,70000,Not Verified,credit_card,23.5,0,Apr-98,2,29,0,25752,30.7,50,0,0,0,0,182858,83900,0
419697,15000, 60 months,10.99,326.07,B,10+ years,MORTGAGE,160000,Verified,debt_consolidation,9.41,0,May-83,1,19,0,27635,17.7,38,0,0,0,0,212351,156500,0
821279,25000, 60 months,17.86,632.94,D,9 years,MORTGAGE,1.00E+05,Source Verified,debt_consolidation,22.52,0,Mar-02,0,13,0,11961,61.7,30,0,0,0,0,342543,19400,0
774707,6000, 36 months,6.92,185.05,A,8 years,OWN,40000,Source Verified,debt_consolidation,16.26,0,Apr-75,0,13,0,5276,23.9,32,0,0,0,925,14811,22100,0
173845,28000, 36 months,13.11,944.92,B,6 years,MORTGAGE,145000,Source Verified,credit_card,19.34,0,Jan-89,1,9,0,43408,77.2,20,0,0,0,0,80336,56200,0
775969,17875, 36 months,14.65,616.59,C,10+ years,RENT,60000,Verified,major_purchase,0.9,0,May-96,0,4,0,1848,23.7,21,0,0,0,0,1848,7800,0
304137,6000, 36 months,6.49,183.87,A,10+ years,OWN,40000,Source Verified,credit_card,4.35,2,Apr-03,1,8,1,5193,23.2,23,0,0,0,0,5344,22400,0
69135,18000, 36 months,13.67,612.32,B,6 years,MORTGAGE,84000,Verified,debt_consolidation,8.13,0,May-00,4,13,0,16616,56.5,27,0,0,0,0,16616,29400,0
604622,6000, 36 months,8.18,188.52,B,10+ years,OWN,98000,Not Verified,major_purchase,5.54,0,Nov-98,1,9,0,4129,18.9,25,0,0,0,0,325838,21800,0
84888,14000, 36 months,18.55,510.01,D,7 years,MORTGAGE,80000,Not Verified,debt_consolidation,16.77,0,Dec-03,3,19,0,13453,59,26,0,0,0,0,48965,22800,0
690114,24000, 60 months,18.25,612.72,E,10+ years,MORTGAGE,75000,Verified,small_business,24.64,0,Jul-94,0,12,1,8345,70.1,34,0,0,0,0,166266,11900,0
90026,5000, 36 months,15.1,173.58,C,5 years,RENT,28000,Not Verified,other,5.83,0,Jun-07,0,9,0,4734,46,13,0,0,0,0,4734,10300,0
401371,10000, 36 months,12.49,334.49,B,6 years,MORTGAGE,56000,Source Verified,debt_consolidation,10.74,0,May-00,0,7,1,8098,81,8,0,0,0,0,22671,10000,0
146802,1600, 36 months,16.29,56.49,C,1 year,MORTGAGE,35000,Verified,other,17.01,0,Aug-05,0,13,0,2139,20,26,0,0,0,0,262069,10700,0
764032,3750, 36 months,20.49,140.31,E,n/a,RENT,9479,Verified,debt_consolidation,39.29,0,Oct-94,1,9,0,7840,41.3,12,0,0,0,0,11328,19000,0
132523,25000, 36 months,15.8,876.46,C,9 years,MORTGAGE,68000,Verified,debt_consolidation,12.7,0,Oct-01,0,6,0,15635,99,13,0,0,0,71,284030,15800,0
102157,20000, 60 months,16.78,494.69,C,10+ years,RENT,72000,Verified,debt_consolidation,19.56,0,Dec-88,0,13,0,19703,54,43,0,0,0,0,52025,36500,0
155145,7000, 36 months,16.29,247.11,C,5 years,RENT,175000,Source Verified,car,7.02,1,Jan-86,2,14,0,7977,77.8,25,0,0,0,0,23103,10100,0
76517,5675, 36 months,11.99,188.47,B,2 years,OWN,35000,Source Verified,debt_consolidation,10.32,0,Jan-98,1,7,0,7194,59.5,16,0,0,0,0,9486,12100,0
543324,30000, 60 months,13.67,692.93,C,3 years,MORTGAGE,142000,Source Verified,debt_consolidation,6.23,0,Jun-01,0,9,0,27229,62.2,20,0,0,0,0,489820,43800,0
83426,25000, 36 months,8.6,790.35,A,6 years,MORTGAGE,92000,Source Verified,debt_consolidation,10.64,0,Mar-01,0,9,0,15813,36.9,16,0,0,0,0,238605,42811,0
177558,14400, 36 months,11.14,472.4,B,10+ years,MORTGAGE,125000,Not Verified,debt_consolidation,4.28,1,Dec-97,0,7,0,3417,55.1,18,0,0,0,0,407437,6200,0
84773,19200, 36 months,9.99,619.44,B,10+ years,MORTGAGE,103872,Not Verified,credit_card,11.52,0,May-98,0,7,0,19581,81.6,36,0,0,0,0,269202,24000,0
314127,35000, 36 months,12.49,1170.71,B,< 1 year,RENT,80000,Verified,car,11.91,0,Nov-06,0,16,0,8402,39.1,26,0,0,0,0,69542,21500,0
53874,18000, 36 months,11.99,597.78,B,6 years,RENT,80000,Not Verified,debt_consolidation,22.42,0,Sep-98,1,9,0,11947,83.5,33,0,0,0,0,103873,14300,0
772402,6000, 36 months,10.99,196.41,B,9 years,MORTGAGE,82000,Not Verified,debt_consolidation,9.98,0,Jul-96,1,10,0,7631,16.1,21,0,0,0,11461,22556,47400,0
73438,14000, 36 months,11.99,464.94,B,< 1 year,RENT,50000,Not Verified,credit_card,25.73,0,Aug-98,0,13,0,15238,86.1,28,0,0,0,0,91869,17700,0
180356,12000, 36 months,14.09,410.66,B,10+ years,RENT,79000,Not Verified,debt_consolidation,8.99,0,Feb-94,0,10,0,8388,67.1,26,0,0,0,0,15890,12500,0
150105,12000, 36 months,12.12,399.26,B,8 years,MORTGAGE,45000,Not Verified,debt_consolidation,9.13,0,Jun-00,0,10,0,7905,76,17,0,0,0,0,185179,10400,0
151804,17425, 36 months,6.62,535.02,A,< 1 year,MORTGAGE,135000,Source Verified,credit_card,10,0,Oct-01,2,8,0,14426,62.2,20,0,0,0,0,357827,23200,0
149541,12000, 60 months,18.49,307.93,D,10+ years,MORTGAGE,72000,Verified,credit_card,19.97,2,Dec-87,0,18,0,8393,53.5,37,0,0,0,0,198012,15700,0
74563,21200, 60 months,15.1,505.47,C,n/a,MORTGAGE,56000,Verified,debt_consolidation,29.01,0,Dec-81,2,7,0,10602,84.8,28,0,0,0,0,246216,12500,0
141727,18400, 60 months,21,497.79,E,9 years,MORTGAGE,52905,Source Verified,debt_consolidation,14.55,0,Jun-01,0,8,0,14501,86.3,22,0,0,0,0,126473,16800,0
838597,10000, 60 months,17.57,251.61,D,10+ years,MORTGAGE,71448,Source Verified,home_improvement,6.01,0,Nov-99,0,6,1,4487,99.7,20,0,0,0,0,279662,4500,0
388567,11000, 36 months,12.99,370.59,C,10+ years,MORTGAGE,83000,Not Verified,debt_consolidation,8.2,9,Jul-89,0,8,0,541,8.7,35,0,0,0,0,265526,6200,0
255483,26000, 36 months,11.44,856.64,B,10+ years,MORTGAGE,72000,Source Verified,debt_consolidation,18.3,0,Jul-89,0,6,0,6963,35.7,45,0,0,0,0,189047,19500,0
379187,4000, 36 months,10.99,130.94,B,1 year,RENT,49000,Not Verified,debt_consolidation,21.11,0,Mar-96,1,17,1,1855,20.8,25,0,0,0,6187,51914,8900,0
401575,9000, 36 months,12.49,301.04,B,10+ years,RENT,82000,Source Verified,debt_consolidation,17.39,4,May-93,0,11,0,16162,60.5,16,0,0,0,0,48985,27100,0
377973,26900, 60 months,15.61,648.6,D,5 years,MORTGAGE,65000,Source Verified,home_improvement,15.95,0,Jul-05,0,12,0,6202,48.8,16,0,0,0,185,172506,12700,0
439033,7000, 36 months,11.99,232.47,B,5 years,MORTGAGE,80000,Not Verified,credit_card,4.94,0,Dec-98,2,8,0,7332,63.2,15,0,0,0,0,161509,11600,0
79501,10000, 36 months,15.1,347.15,C,< 1 year,RENT,35000,Source Verified,debt_consolidation,30.65,1,Mar-04,0,11,1,3318,17.6,23,0,1,0,0,38062,18900,0
118788,6000, 36 months,18.85,219.49,D,10+ years,RENT,55000,Not Verified,debt_consolidation,29.19,0,Oct-88,0,9,0,9181,91.8,13,0,0,0,0,50750,10000,0
253666,20000, 60 months,13.66,461.85,C,10+ years,OWN,70000,Source Verified,debt_consolidation,12.51,0,Aug-93,0,7,0,4747,37.1,23,0,0,0,0,233364,12800,0
459069,25000, 36 months,14.47,860.16,C,4 years,OWN,75000,Source Verified,debt_consolidation,18.19,0,May-02,1,14,0,4468,36.9,30,0,0,0,56,408226,12100,0
181641,10000, 36 months,11.14,328.06,B,4 years,RENT,51000,Verified,debt_consolidation,16.68,0,Feb-05,0,9,1,8421,75.2,17,0,0,0,0,22547,11200,0
66093,6000, 36 months,17.1,214.22,C,10+ years,MORTGAGE,85000,Source Verified,debt_consolidation,20.9,1,Aug-85,1,11,1,10302,90.4,33,0,0,0,240,29873,11400,0
459814,10000, 36 months,10.99,327.34,B,10+ years,MORTGAGE,210000,Source Verified,debt_consolidation,12.06,1,May-75,1,18,1,16504,50.3,57,0,0,0,295,71415,32800,0
44747,10000, 36 months,11.99,332.1,B,10+ years,MORTGAGE,167000,Source Verified,debt_consolidation,21.62,0,Apr-96,0,6,0,10489,95.4,15,0,0,0,0,78194,11000,0
590963,10825, 60 months,12.29,242.39,C,7 years,MORTGAGE,70600,Source Verified,debt_consolidation,28.71,0,Mar-95,2,11,0,35628,44,28,0,0,0,0,168815,81000,0
264654,7200, 36 months,9.17,229.53,B,3 years,MORTGAGE,55000,Not Verified,debt_consolidation,2.4,2,Jun-06,0,7,0,4244,50.5,12,0,0,0,0,210349,8400,0
83064,15000, 36 months,9.99,483.94,B,10+ years,MORTGAGE,70000,Not Verified,home_improvement,8.47,0,Oct-01,0,9,0,20322,69.8,31,0,0,0,0,93541,29100,0
385211,4000, 36 months,23.43,155.74,F,10+ years,RENT,37440,Not Verified,medical,1.33,0,Feb-94,0,3,0,3705,15.6,10,0,0,0,0,3705,23700,0
95325,15000, 36 months,16.78,533.15,C,10+ years,RENT,75000,Verified,credit_card,16.08,1,Oct-97,0,9,1,17663,58.5,20,0,0,0,0,43709,30200,0
187846,10000, 36 months,17.27,357.88,C,10+ years,RENT,39000,Source Verified,car,17.85,2,Nov-02,2,7,0,4123,43.9,17,0,0,0,0,9013,9400,0
109493,10000, 36 months,10.64,325.69,B,3 years,OWN,55000,Not Verified,home_improvement,18.81,1,May-99,0,14,0,4956,25.7,43,0,0,0,169,30721,19300,0
182152,24000, 36 months,6.03,730.46,A,10+ years,MORTGAGE,80000,Not Verified,credit_card,11.96,0,Sep-90,0,12,0,25394,49.3,36,0,0,0,0,283876,51500,0
168594,24575, 36 months,17.77,885.62,D,10+ years,MORTGAGE,55000,Verified,debt_consolidation,30.52,6,May-77,1,13,0,11826,74.8,50,0,0,0,0,133257,15800,0
152679,4800, 36 months,12.12,159.71,B,< 1 year,MORTGAGE,82000,Verified,debt_consolidation,5.42,1,Jan-02,1,11,0,6542,96.2,15,0,0,0,0,241457,6800,0
451357,3000, 36 months,12.85,100.87,B,10+ years,OWN,40000,Verified,credit_card,15.6,0,Feb-95,1,6,1,3251,47.1,21,0,0,0,0,10886,6900,0
292334,14000, 36 months,11.67,462.8,B,10+ years,RENT,77000,Source Verified,debt_consolidation,20.65,1,Mar-96,1,8,0,1473,19.1,41,0,0,0,0,164466,7700,0
778055,35000, 60 months,13.99,814.21,C,8 years,MORTGAGE,116000,Not Verified,major_purchase,10.47,1,Mar-99,1,12,0,39464,94,25,0,0,0,0,367902,42000,0
232355,20000, 60 months,16.49,491.59,D,10+ years,MORTGAGE,125000,Source Verified,credit_card,12.16,2,Aug-82,0,13,0,134505,95.3,37,0,0,0,0,536738,136100,0
194443,9950, 36 months,13.11,335.79,B,10+ years,OWN,30000,Verified,debt_consolidation,29.56,0,Dec-97,0,15,0,21018,65.3,23,0,0,0,0,21018,32200,0
78614,18000, 36 months,9.99,580.73,B,3 years,MORTGAGE,185000,Verified,debt_consolidation,20.58,0,Nov-00,1,12,0,70786,40.5,27,0,0,0,0,442195,118800,0
386166,12000, 36 months,7.69,374.33,A,10+ years,RENT,1.00E+05,Not Verified,credit_card,2.69,0,Apr-97,0,7,0,10033,30.3,18,0,0,0,0,10033,33100,0
858482,12000, 36 months,10.49,389.98,B,7 years,RENT,72000,Source Verified,debt_consolidation,11.65,1,Jul-04,0,13,0,9561,40.9,25,0,0,0,411,30460,23400,0
781809,5375, 36 months,14.65,185.41,C,10+ years,MORTGAGE,35000,Not Verified,debt_consolidation,25.14,0,Jul-02,0,12,1,4332,25.5,22,0,0,0,163,90620,17000,0
779109,15000, 60 months,8.18,305.44,B,n/a,RENT,51000,Verified,debt_consolidation,14.41,0,Jun-96,0,5,0,14333,29.4,19,0,0,0,0,31287,48800,0
